sent1,sent2,label,logits
青年工业师从事岗位设置的特殊贡献是什么,青年工业师从事岗位设置的特殊贡献是什么,1,5.369217872619629
青年工业师从事岗位设置的特殊贡献是什么,青年工程师技术队伍坚持什么结合,1,4.026259422302246
青年工业师从事岗位设置的特殊贡献是什么,青年工业大学在实验室的作用是什么,1,3.4217312335968018
青年工业师从事岗位设置的特殊贡献是什么,青年就业以什么为重点,1,3.4056720733642583
青年工业师从事岗位设置的特殊贡献是什么,青年工人站建立的目的是什么,1,3.0491812229156494
青年工业师从事岗位设置的特殊贡献是什么,道朗镇朱家洼村和乐惠农业联合打造的乐惠田园综合体项目有什么用处,0,4.932936668395996
青年工业师从事岗位设置的特殊贡献是什么,《富民路》吸引了哪些贫困户参与经营,0,4.871531963348389
青年工业师从事岗位设置的特殊贡献是什么,海南省实行政务监督平台对农村干部提出了怎样的要求,0,4.842130661010742
青年工业师从事岗位设置的特殊贡献是什么,浙江中大集团有哪些渠道优化了居民财产性收入,0,4.8188982009887695
青年工业师从事岗位设置的特殊贡献是什么,树仔镇管海局与江苏省某企业有何联系,0,4.805140495300293
共有78个问题分类为1


sent1,sent2,label,logits
各工作组干部做出了哪些努力,各工作组干部做出了哪些努力,1,5.672074317932129
各工作组干部做出了哪些努力,武汉市工商联依托商会做出了哪些努力,1,4.337878704071045
各工作组干部做出了哪些努力,湖南路街道结合县委分工做了哪些努力,1,4.1430110931396475
各工作组干部做出了哪些努力,区财政做了哪些努力,1,4.058270454406738
各工作组干部做出了哪些努力,谁对煤炭镇镇的工作做出了怎样的努力,1,4.02895450592041
各工作组干部做出了哪些努力,信用社会保险投票权的坚实实践是什么,0,4.808401584625244
各工作组干部做出了哪些努力,上海铁路局附属机场学校实施岗位培训的要求是什么,0,4.7364230155944815
各工作组干部做出了哪些努力,立立国家义务教育质量基本标准和监测制度的依据是什么,0,4.706404209136963
各工作组干部做出了哪些努力,中小微企业吸纳高校毕业生就业主渠道作用主要指什么,0,4.700127601623535
各工作组干部做出了哪些努力,推广中小学教师、卫生等重点领域专业技术人才晋升高级职称时需要的什么条件,0,4.6675381660461435
共有333个问题分类为1


